id_notizia;Titolo;Pubblicazione;Descrizione;Autore;Fonte;Link;Immagine;C_liked;C_disliked;C_shared
4;Nuovi vaccini anti-Covid, via libera dai  12 anni in su. Ecco chi potrà farli e quando;2022-09-07 19:15:58;Il ministero indica le categorie alle quali è consigliata un’altra dose da fare non prima di 120 giorni dall’ultima ricevuta. ;Margherita De Bac;Corriere;https://www.corriere.it/cronache/22_settembre_07/covid-nuovi-vaccini-ecco-chi-potra-farli-quando-consigliati-gravidanza-f8199b7e-2ec5-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Interni/Foto%20Interni%20-%20Trattate/43.0.2166512744-kGaC-U3370611663104qXC-656x492@Corriere-Web-Sezioni.JPG;1;0;0
5;Milano, incendio a San Giuliano Milanese alla Nitrolchimica: in fiamme migliaia di litri di solventi ;2022-09-07 18:55:05;Vasto incendio alla Nitrolchimica: al lavoro 20 squadre di pompieri. Due dipendenti ustionati, uno in pericolo di vita, un ferito e altre 15 persone soccorse sul posto. In fiamme solventi e rifiuti tossici. Arpa: «Il fumo si sta diradando»;Cesare Giuzzi;Corriere;https://milano.corriere.it/notizie/cronaca/22_settembre_07/milano-incendio-nitrolchimica-san-giuliano-fiamme-solventi-rifiuti-pericolosi-rischio-ambientale-rilevante-5fe900c4-2e8e-11ed-bf4a-00b229732663.shtml;https://images2-milano.corriereobjects.it/methode_image/2022/09/07/Milano/Foto%20Milano%20-%20Trattate/50778b9a-ee1a-4b2d-b247-701959d48c2f-kTHC-U33705932853253qG-656x492@Corriere-Web-Milano.jpg;0;0;0
6;Il discorso di Putin contro l’Italia (strangolata) e l’Europa, e il documento segreto del Cremlino sulla «decrescita grave»;2022-09-07 19:19:34;Ma il dollaro si apprezza continuamente, e l’export italiano è cresciuto del 22,4% sul 2021. E un documento segreto del Cremlino parla di «decrescita grave»;Fabrizio Dragosei;Corriere;https://www.corriere.it/esteri/22_settembre_07/vladimir-putin-discorso-russia-italia-be8e959c-2e90-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Esteri/Foto%20Esteri%20-%20Trattate/AFP_32HU6L3-k72C-U3370593849602AxB-656x492@Corriere-Web-Sezioni.jpg;0;0;0
7;L’intervista a Matteo Renzi in diretta: inviate le vostre domande;2022-09-07 19:11:30;IN vista del voto del 25 settembre, gli appuntamenti del Corriere della Sera in diretta video con i leader dei partiti: giovedì 8 settembre alle 12 c’è il leader di Italia Viva. Ecco come inviare la propria domanda;Redazione Online;Corriere;https://www.corriere.it/elezioni/22_settembre_07/intervista-matteo-renzi-diretta-domande-0cc6a9fc-2ec8-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Politica/Foto%20Politica%20-%20Trattate/19142548-kvAG-U3370610347416r0F-656x492@Corriere-Web-Sezioni.jpg;0;0;0
8;Elezioni 2022, «sanità ai margini della campagna elettorale»: il richiamo ai partiti di medici e Gimbe;2022-09-07 13:07:10;Cartabellotta: «Dalle coalizioni nessun piano per il rilancio del Ssn». E i sindacati dei camici bianchi chiedono «un fronte comune per difendere la sanità pubblica»;Carlotta De Leo;Corriere;https://www.corriere.it/politica/22_settembre_07/elezioni-2022-sanita-margini-campagna-elettorale-richiamo-partiti-medici-gimbe-66fefe7e-2e7d-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Politica/Foto%20Politica%20-%20Trattate/335.0.1744734145-k0WE-U3370587319793E2F-656x492@Corriere-Web-Sezioni.jpg;0;0;0
9;Bollette, dal condizionatore al frigo:   gli elettrodomestici che consumano di più Risparmio dei consumi, le nuove regole pdf;2022-09-07 19:18:27;Dai 142 euro all’anno per il frigorifero ai 232 per il condizionatore: un’indagine condotta dal portale Facile.it stima la spesa sostenuta per il funzionamento e il grado di affezione degli italiani ai principali elettrodomestici ;Marco Sabella;Corriere;https://www.corriere.it/economia/consumi/cards/bollette-frigo-condizionatore-quanto-costano-elettrodomestici-irrinunciabili/bolletta-la-famiglia-tipo-spesa-776-euro-8-mesi_principale.shtml;https://images2.corriereobjects.it/methode_image/2022/09/01/Economia/Foto%20Economia%20-%20Trattate/18717674-k5dC-U3370331754901kyB-656x492@Corriere-Web-Sezioni.jpg;0;0;0
10; «Giallo»: «Annamaria Franzoni è ritornata a Ferragosto nella villa di Cogne dove uccise il figlio Samuele»;2022-09-07 17:43:38;La donna, libera dopo aver scontato la pena, è tornata nella sua casa dove, il 30 gennaio del 2002, uccise il piccolo di 3 anni. «Giallo», in edicola domani, pubblica le foto in esclusiva di Franzoni che ha sempre negato di aver commesso l’infanticidio ;Redazione Cronache;Corriere;https://www.corriere.it/cronache/22_settembre_07/giallo-annamaria-franzoni-ritornata-ferragosto-villa-cogne-dove-uccise-figlio-samuele-b8f41006-2e9c-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Interni/Foto%20Interni%20-%20Trattate/foto%20Franzoni-klYH-U3370598614085A4B-656x492@Corriere-Web-Sezioni.jpg;0;0;0
11;Mozambico, suora italiana morta nell’attentato in una missione;2022-09-07 17:30:18;L’attentato a Chipene, nel nord del Paese: suor Maria è stata uccisa, due sacerdoti friulani sono sopravvissuti. Padre Zanotelli: «È stata colpita a bruciapelo dai jihadisti» ;Redazione online;Corriere;https://www.corriere.it/cronache/22_settembre_07/mozambico-suora-morta-attentato-16efa61c-2e8d-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Interni/Foto%20Interni%20-%20Trattate/294012546_1182048145911281_6371239807557757496_n-kVKD-U3370588173076IMB-656x492@Corriere-Web-Sezioni.jpg;0;0;0
12;L’incendio della Torre  dei Moro: edificio non ignifugo per risparmiare  1 euro al mq sugli isolanti ;2022-09-07 18:58:35;Sono 18 gli indagati per disastro colposo. Utilizzati pannelli di tipo Larsen PE senza alcuna valida classificazione al fuoco e anzi ultracombustibile e micidiale nel trasformare in una torcia il 29 agosto 2021 le 14 tonnellate di rivestimento del grattacielo  ;Luigi Ferrarella;Corriere;https://milano.corriere.it/notizie/cronaca/22_settembre_07/via-antonini-torre-fiamme-risparmiare-1-euro-metro-quadro-isolanti-5771e3ce-2e94-11ed-bf4a-00b229732663.shtml;https://images2-milano.corriereobjects.it/methode_image/2022/09/07/Milano/Foto%20Milano%20-%20Trattate/17380865-kFcD-U32901069696808DS-656x492@Corriere-Web-Milano-kedF-U33705956324785GE-656x492@Corriere-Web-Milano.jpg;0;0;0
13;Incendio nell’ospedale Pietra Ligure: fermato un sospetto, è uno straniero senza fissa dimora ;2022-09-07 18:57:04;Il rogo era divampato fra le corsie della struttura sanitaria del Savonese. Era stato necessario evacuare 85 persone, fra cui una decina di intossicati fra cui tre gravi;Redazione cronache;Corriere;https://www.corriere.it/cronache/22_settembre_07/incendio-ospedale-pietra-ligure-fermano-sospetto-straniero-senza-fissa-dimora-16273d2e-2ec6-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Interni/Foto%20Interni%20-%20Trattate/twitter-kNMB-U3370605315187Np-656x492@Corriere-Web-Sezioni.jpg;0;0;0
14;Hugh Jackman padre imperfetto in «The Son»: «Non rinnego i supereroi, ma preferisco i personaggi veri»;2022-09-07 18:21:36;L’ex Wolverine è un genitore alle prese con la malattia mentale del figlio: «Questo film mi ha cambiato, come uomo e come attore»;Valerio Cappelli, inviato a Venezia;Corriere;https://www.corriere.it/spettacoli/mostra-del-cinema-venezia/notizie/hugh-jackman-padre-imperfetto-the-son-non-rinnego-supereroi-ma-preferisco-personaggi-veri-246f0222-2ebc-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Spettacoli/Foto%20Spettacoli%20-%20Trattate/LAPR0594-kSKH-U33706080428096QC-656x492@Corriere-Web-Sezioni.JPG;0;0;0
15;Gerini imbronciata (6+), Bodi supera Wanda Osiris (5) I voti allo stile ;2022-09-07 15:30:28;Dal total white del giorno prima al total black di oggi. Così il red carpet veneziano. Con una spolverata di esagerazioni che fanno anche colore locale. E pure qualche scollatura vertiginosa;Gian Luca Bauzano;Corriere;https://www.corriere.it/moda/cards/festival-cinema-tilda-swinton-senza-tempo-9-manda-lear-vestaglia-4-accorsi-sbilanciati-6/tilda-swinton-atemporale-9_principale.shtml;https://images2.corriereobjects.it/methode_image/2022/09/06/Moda/Foto%20Moda%20-%20Trattate/mod-obb-kCJB-U3370541591961cHD-656x492@Corriere-Web-Sezioni.jpg;0;0;0
16;Le pagelle del Mereghetti. Gianni Amelio: il suo ritratto di un’Italia bigotta è da 8;2022-09-07 15:24:14;Il regista mostra i pugni e lo fa con rabbia e determinazione in «Il signore delle formiche»;;Corriere;https://www.corriere.it/spettacoli/mostra-del-cinema-venezia/notizie/01-spettacoli-box5testocorriere-web-sezioni-812b3560-2e05-11ed-aea6-eaa2f969967c.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Spettacoli/Foto%20Spettacoli%20-%20Trattate/7148-k10E-U3370558089667ugD-656x492@Corriere-Web-Sezioni.jpg;0;0;0
17;«Saint-Omer» di Alice Diop, regista esordiente: «Le mie riflessioni sulla maternità in un caso di cronaca nera» ;2022-09-07 17:00:17;Francese, originaria del Senegal, nel suo primo film di finzione si è ispirata anche alla «Medea» di Pasolini;Stefania Ulivi, inviata a Venezia;Corriere;https://www.corriere.it/spettacoli/mostra-del-cinema-venezia/notizie/saint-omer-alice-diop-regista-esordiente-le-mie-riflessioni-maternita-un-caso-cronaca-nera-c1fb1ed0-2eb8-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Spettacoli/Foto%20Spettacoli%20-%20Trattate/4637484d297a40ca9895db9b616e2ecd--1--93ea5c85147241d18134178beb94c868-k4-U3370606468560g7H-656x492@Corriere-Web-Sezioni.jpg;0;0;0
